Organization,Category,Line Item,Fiscal Year,"Amount (US$, Millions)"
MIGA,Expenses,(Increase) Decrease in Reserves,2012,-37.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2012,-44.0
MIGA,Income,Investment Income,2012,37.0
MIGA,Income,Net Premium Income,2012,62.0
MIGA,Expenses,Translation (Loss) Gain,2012,-12.0
MIGA,Expenses,(Increase) Decrease in Reserves,2013,-57.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2013,-47.0
MIGA,Income,Investment Income,2013,34.0
MIGA,Income,Net Premium Income,2013,66.0
MIGA,Expenses,Translation (Loss) Gain,2013,0.0
MIGA,Expenses,(Increase) Decrease in Reserves,2014,-13.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2014,-45.0
MIGA,Income,Investment Income,2014,53.0
MIGA,Income,Net Premium Income,2014,72.0
MIGA,Expenses,Translation (Loss) Gain,2014,3.0
MIGA,Expenses,(Increase) Decrease in Reserves,2015,-51.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2015,-45.0
MIGA,Income,Investment Income,2015,24.0
MIGA,Income,Net Premium Income,2015,79.0
MIGA,Expenses,Translation (Loss) Gain,2015,-18.0
MIGA,Expenses,(Increase) Decrease in Reserves,2016,-4.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2016,-48.0
MIGA,Income,Investment Income,2016,23.0
MIGA,Income,Net Premium Income,2016,86.0
MIGA,Expenses,Translation (Loss) Gain,2016,0.0
MIGA,Expenses,(Increase) Decrease in Reserves,2017,154.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2017,-51.0
MIGA,Income,Investment Income,2017,5.0
MIGA,Income,Miscellaneous Income,2017,1.0
MIGA,Income,Net Premium Income,2017,93.0
MIGA,Expenses,Translation (Loss) Gain,2017,-2.0
MIGA,Expenses,(Increase) Decrease in Reserves,2018,-27.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2018,-52.0
MIGA,Income,Investment Income (Loss) ,2018,16.0
MIGA,Income,Miscellaneous Income,2018,0.0
MIGA,Income,Net Premium Income,2018,104.0
MIGA,Expenses,Translation (Loss) Gain,2018,0.0
MIGA,Expenses,(Increase) Decrease in Reserves,2019,-11.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2019,-58.0
MIGA,Income,Investment Income (Loss) ,2019,38.0
MIGA,Income,Miscellaneous Income,2019,0.0
MIGA,Income,Net Premium Income,2019,115.0
MIGA,Expenses,Translation (Loss) Gain,2019,-2.0
MIGA,Income,Net Premium Income,2020,117.0
MIGA,Income,Investment Income (Loss) ,2020,40.0
MIGA,Income,Miscellaneous Income,2020,0.143
MIGA,Expenses,(Increase) Decrease in Reserves,2020,-37.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2020,-61.0
MIGA,Expenses,Translation (Loss) Gain,2020,-2.0
MIGA,Income,Net Premium Income,2021,121.0
MIGA,Income,Investment Income (Loss) ,2021,6.0
MIGA,Income,Miscellaneous Income,2021,0.171
MIGA,Expenses,(Increase) Decrease in Reserves,2021,8.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2021,-59.0
MIGA,Expenses,Translation (Loss) Gain,2021,5.0
MIGA,Income,Net Premium Income,2022,116.225
MIGA,Income,Investment Income (Loss) ,2022,-8.533
MIGA,Income,Miscellaneous Income,2022,0.367
MIGA,Expenses,(Increase) Decrease in Reserves,2022,-4.161
MIGA,Expenses,Administrative expenses (including Pension Cost),2022,-65.036
MIGA,Expenses,Translation (Loss) Gain,2022,-11.335
MIGA,Income,Net Premium Income,2023,124.0
MIGA,Income,Investment Income (Loss),2023,70.0
MIGA,Income,Miscellaneous Income,2023,0.305
MIGA,Expenses,(Increase) Decrease in Reserves,2023,12.0
MIGA,Expenses,Administrative expenses (including Pension Cost),2023,-70.0
MIGA,Expenses,Translation (Loss) Gain,2023,3.0
MIGA,Income,Net Premium Income,2024,131.0
MIGA,Income,Investment Income (Loss),2024,125.0
MIGA,Income,Miscellaneous Income,2024,0.3
MIGA,Expenses,(Increase) Decrease in Reserves,2024,-0.99
MIGA,Expenses,Administrative expenses (including Pension Cost),2024,-73.68
MIGA,Expenses,Translation (Loss) Gain,2024,-1.77
